CAMPUS	ALLRTF	CAD_MATH	CAD_PROGRESS	CAD_READ	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CUT	CI4_MAXPTS	CI4_MET	CI4_TOTPTS	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	C_RATING	C_UPDATE	DISTNAME	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME	RFTED
001906002	N	0	0	0	NECHES H S	 	N	N	N	N	N	N	N	N	N	N	N	84	50	475	Y	398	23	17	1000	Y	229	78	55	500	Y	389	89	75	200	Y	177.8	ANDERSON	001	19	16	119	124	47	37.9	3	2.4	M	 	NECHES ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
001906102	N	1	0	1	NECHES EL	 	N	N	N	N	N	N	N	N	N	N	N	89	50	506	Y	452	42	30	800	Y	338	78	55	500	Y	391	.	75	.	 	.	ANDERSON	001	33	12	276	282	123	43.6	1	0.4	M	 	NECHES ISD	08	EE	EE - 08	E	 	 	07	REGION 07: KILGORE	 
001907001	N	1	0	0	PALESTINE H S	 	N	N	N	N	N	N	N	N	N	N	N	67	50	3020	Y	2038	21	17	2400	Y	496	63	55	1500	Y	943	92	75	800	Y	735.8	ANDERSON	001	240	25.1	955	850	542	63.8	24	2.8	M	 	PALESTINE ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
001907041	N	0	1	1	PALESTINE MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	74	50	1464	Y	1088	39	29	1600	Y	624	69	55	1500	Y	1028	.	75	.	 	.	ANDERSON	001	122	23.1	527	443	322	72.7	16	3.6	M	 	PALESTINE ISD	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE	 
001907101	N	 	 	 	NORTHSIDE PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANDERSON	001	51	16.8	303	575	465	80.9	143	24.9	M	 	PALESTINE ISD	01	KG	KG - 01	E	001907107	SOUTHSIDE EL	07	REGION 07: KILGORE	 
001907102	N	 	 	 	WASHINGTON EARLY CHILDHOOD CENTER	 	N	N	N	N	Y	N	N	A	N	N	N	.	.	.	P	.	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANDERSON	001	.	.	.	197	193	98	66	33.5	M	 	PALESTINE ISD	PK	EE	EE - PK	E	001907107	SOUTHSIDE EL	07	REGION 07: KILGORE	 
001907107	N	0	 	0	SOUTHSIDE EL	 	N	N	N	N	N	N	N	N	N	Y	N	70	50	403	Y	284	.	30	0	Z	.	71	55	600	Y	424	.	75	.	 	.	ANDERSON	001	94	16.6	565	515	412	80	131	25.4	M	 	PALESTINE ISD	03	02	02 - 03	E	 	 	07	REGION 07: KILGORE	 
001907110	N	0	0	0	STORY INT	 	N	N	N	N	N	N	N	N	N	N	N	67	50	1775	Y	1192	36	30	1600	Y	579	62	55	1200	Y	746	.	75	.	 	.	ANDERSON	001	118	14.9	790	708	568	80.2	54	7.6	M	 	PALESTINE ISD	06	04	04 - 06	E	 	 	07	REGION 07: KILGORE	 
001908002	N	1	0	0	WESTWOOD H S	 	N	N	N	N	N	N	N	N	N	N	N	78	50	1496	Y	1167	19	17	1600	Y	296	73	55	1500	Y	1100	87	75	400	Y	348.4	ANDERSON	001	96	19.2	499	429	208	48.5	1	0.2	M	 	WESTWOOD ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
001908041	N	0	0	0	WESTWOOD J H	 	N	N	N	N	N	N	N	N	N	N	N	75	50	772	Y	577	34	29	1600	Y	539	74	55	1000	Y	739	.	75	.	 	.	ANDERSON	001	53	19.1	277	241	142	58.9	3	1.2	M	 	WESTWOOD ISD	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE	 
001908101	N	0	0	0	WESTWOOD EL	 	N	N	N	N	N	N	N	N	N	Y	N	65	50	1158	Y	750	33	30	1600	Y	520	63	55	600	Y	380	.	75	.	 	.	ANDERSON	001	93	15.4	602	515	348	67.6	35	6.8	M	 	WESTWOOD ISD	06	03	03 - 06	E	 	 	07	REGION 07: KILGORE	 
001908102	N	 	 	 	WESTWOOD PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANDERSON	001	71	22.2	320	434	304	70	41	9.4	M	 	WESTWOOD ISD	02	EE	EE - 02	E	001908101	WESTWOOD EL	07	REGION 07: KILGORE	 
001909001	N	0	0	1	SLOCUM H S	 	N	N	N	N	N	N	N	N	N	N	N	85	50	648	Y	553	33	17	1200	Y	393	82	55	500	Y	412	83	75	400	Y	332.2	ANDERSON	001	39	16.5	236	213	90	42.3	2	0.9	M	 	SLOCUM ISD	12	06	06 - 12	B	 	 	07	REGION 07: KILGORE	 
001909101	N	1	1	0	SLOCUM EL	 	N	N	N	N	N	N	N	N	N	N	N	73	50	245	Y	180	47	30	800	Y	372	72	55	400	Y	288	.	75	.	 	.	ANDERSON	001	34	19.1	178	226	108	47.8	0	0	M	 	SLOCUM ISD	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE	 
002901001	N	0	0	0	ANDREWS H S	 	N	N	N	N	N	N	N	N	N	N	N	69	50	3477	Y	2399	20	17	1800	Y	367	62	55	1000	Y	620	93	75	700	Y	650.3	ANDREWS	002	183	18.9	966	903	244	27	30	3.3	M	 	ANDREWS ISD	12	09	09 - 12	S	 	 	18	REGION 18: MIDLAND	 
002901002	N	 	 	 	ANDREWS EDUCATION CENTER	AEC OF CHOICE	Y	Y	N	N	N	N	N	N	N	N	N	64	25	14	Y	9	.	9	0	Z	.	.	30	0	Z	.	100	45	100	Y	90	ANDREWS	002	117	95.1	123	36	14	38.9	0	0	A	 	ANDREWS ISD	12	09	09 - 12	S	 	 	18	REGION 18: MIDLAND	 
002901041	N	0	0	0	ANDREWS MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	69	50	2097	Y	1455	30	29	1200	Y	362	62	55	500	Y	310	.	75	.	 	.	ANDREWS	002	95	12.6	753	777	299	38.5	48	6.2	M	 	ANDREWS ISD	08	06	06 - 08	M	 	 	18	REGION 18: MIDLAND	 
002901101	N	0	 	0	DEVONIAN EL	 	N	N	N	N	N	N	N	N	N	Y	N	68	50	480	Y	325	.	30	0	Z	.	64	55	400	Y	254	.	75	.	 	.	ANDREWS	002	104	16.9	616	586	281	48	109	18.6	M	 	ANDREWS ISD	03	02	02 - 03	E	 	 	18	REGION 18: MIDLAND	 
002901104	N	0	0	0	UNDERWOOD EL	 	N	N	N	N	N	N	N	N	N	N	N	68	50	1584	Y	1075	31	30	1200	Y	374	68	55	1200	Y	810	.	75	.	 	.	ANDREWS	002	85	14.9	570	579	275	47.5	85	14.7	M	 	ANDREWS ISD	05	04	04 - 05	E	 	 	18	REGION 18: MIDLAND	 
002901105	N	 	 	 	CLEARFORK EL	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANDREWS	002	55	16.8	328	736	376	51.1	126	17.1	M	 	ANDREWS ISD	01	EE	EE - 01	E	002901101	DEVONIAN EL	18	REGION 18: MIDLAND	 
003801001	N	0	0	0	PINEYWOODS COMMUNITY ACADEMY H S	 	N	N	Y	N	N	N	N	N	N	N	N	80	50	726	Y	582	29	17	1200	Y	348	69	55	700	Y	485	87	75	200	Y	174	ANGELINA	003	19	11	173	195	74	37.9	0	0	M	 	PINEYWOODS COMMUNITY ACADEMY	12	07	07 - 12	S	 	 	07	REGION 07: KILGORE	 
003801103	N	0	1	0	PINEYWOODS COMMUNITY ACADEMY EL	 	N	N	Y	N	N	N	N	N	N	N	N	72	50	570	Y	412	49	30	1200	Y	582	60	55	800	Y	477	.	75	.	 	.	ANGELINA	003	28	8.6	324	440	246	55.9	0	0	M	 	PINEYWOODS COMMUNITY ACADEMY	06	PK	PK - 06	E	 	 	07	REGION 07: KILGORE	 
003902001	N	1	0	0	HUDSON H S	 	N	N	N	N	N	N	N	N	N	N	N	87	50	2667	Y	2311	23	17	1800	Y	412	79	55	1000	Y	789	92	75	400	Y	366.3	ANGELINA	003	89	11.6	770	755	334	44.2	5	0.7	M	 	HUDSON ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
003902004	N	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE	Y	Y	N	N	N	N	N	N	N	N	N	.	25	8	Z	0	.	9	0	Z	.	.	30	0	Z	.	90	45	100	Z	83.3	ANGELINA	003	28	100	28	7	0	0	0	0	Z	 	HUDSON ISD	12	10	10 - 12	S	 	 	07	REGION 07: KILGORE	 
003902041	N	1	1	1	HUDSON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	86	50	1886	Y	1631	43	29	1600	Y	680	80	55	1200	Y	959	.	75	.	 	.	ANGELINA	003	82	12	685	664	357	53.8	25	3.8	M	 	HUDSON ISD	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE	 
003902101	N	 	 	 	W F PEAVY PRIMARY	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANGELINA	003	74	16.3	453	712	465	65.3	96	13.5	M	 	HUDSON ISD	02	EE	EE - 02	E	003902102	W H BONNER EL	07	REGION 07: KILGORE	 
003902102	N	1	0	0	W H BONNER EL	 	N	N	N	N	N	N	N	N	N	Y	N	84	50	1446	Y	1218	44	30	1200	Y	522	80	55	900	Y	716	.	75	.	 	.	ANGELINA	003	90	13.5	668	588	334	56.8	51	8.7	M	 	HUDSON ISD	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE	 
003903001	N	1	1	1	LUFKIN H S	 	N	N	N	N	N	N	N	N	N	N	N	80	50	7636	Y	6123	29	17	2800	Y	821	76	55	1500	Y	1140	86	75	1000	Y	863	ANGELINA	003	369	15.4	2396	2205	1334	60.5	62	2.8	M	 	LUFKIN ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
003903004	N	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE	Y	Y	N	N	N	N	N	N	N	N	N	82	25	33	Y	27	.	9	0	Z	.	.	30	0	Z	.	96	45	100	Y	73.3	ANGELINA	003	85	97.7	87	41	22	53.7	1	2.4	A	 	LUFKIN ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
003903044	N	1	0	1	LUFKIN MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	80	50	4936	Y	3944	37	29	2400	Y	898	75	55	1500	Y	1128	.	75	.	 	.	ANGELINA	003	205	10.8	1896	1749	1289	73.7	193	11	M	 	LUFKIN ISD	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE	 
003903120	N	1	1	0	ANDERSON EL	 	N	N	N	N	N	N	N	N	N	Y	N	81	50	696	Y	561	52	30	1600	Y	826	77	55	900	Y	694	.	75	.	 	.	ANGELINA	003	61	18.8	324	306	232	75.8	34	11.1	M	 	LUFKIN ISD	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE	 
003903121	N	0	0	1	BRANDON EL	 	N	N	N	N	N	N	N	N	N	Y	N	75	50	1058	Y	798	43	30	1600	Y	686	63	55	1100	Y	697	.	75	.	 	.	ANGELINA	003	69	14.8	466	435	264	60.7	28	6.4	M	 	LUFKIN ISD	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE	 
003903122	N	0	1	1	BROOKHOLLOW EL	 	N	N	N	N	N	N	N	N	N	Y	N	74	50	728	Y	539	52	30	1600	Y	826	71	55	800	Y	570	.	75	.	 	.	ANGELINA	003	78	21.4	364	303	241	79.5	24	7.9	M	 	LUFKIN ISD	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE	 
003903123	N	0	1	0	COSTON EL	 	N	N	N	N	N	N	N	N	N	Y	N	52	50	610	Y	317	49	30	1600	Y	783	62	55	800	Y	499	.	75	.	 	.	ANGELINA	003	73	22.9	319	291	278	95.5	126	43.3	M	 	LUFKIN ISD	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE	 
003903124	N	 	 	 	DUNBAR PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANGELINA	003	57	15.6	366	370	232	62.7	30	8.1	M	 	LUFKIN ISD	02	KG	KG - 02	E	003903121	BRANDON EL	07	REGION 07: KILGORE	 
003903125	N	 	 	 	GARRETT PRI	 	N	N	N	N	Y	N	N	A	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANGELINA	003	.	.	.	375	367	97.9	198	52.8	M	 	LUFKIN ISD	KG	PK	PK - KG	E	003903121	BRANDON EL	07	REGION 07: KILGORE	 
003903126	N	 	 	 	HACKNEY PRI	 	N	N	N	N	Y	N	N	A	Y	N	N	.	.	.	P	.	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANGELINA	003	.	.	.	268	260	97	108	40.3	M	 	LUFKIN ISD	PK	PK	PK - PK	E	003903000	LUFKIN ISD	07	REGION 07: KILGORE	 
003903127	N	 	 	 	HERTY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANGELINA	003	59	25.8	229	416	384	92.3	82	19.7	M	 	LUFKIN ISD	02	EE	EE - 02	E	003903123	COSTON EL	07	REGION 07: KILGORE	 
003903128	N	 	 	 	KURTH PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANGELINA	003	70	28.7	244	400	337	84.3	58	14.5	M	 	LUFKIN ISD	02	PK	PK - 02	E	003903120	ANDERSON EL	07	REGION 07: KILGORE	 
003903129	N	0	0	0	SLACK EL	 	N	N	N	N	N	N	N	N	N	Y	N	69	50	954	Y	663	37	30	1200	Y	449	71	55	600	Y	425	.	75	.	 	.	ANGELINA	003	40	8.5	468	419	322	76.8	236	56.3	M	 	LUFKIN ISD	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE	 
003903130	N	 	 	 	TROUT PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANGELINA	003	76	28.7	265	393	328	83.5	39	9.9	M	 	LUFKIN ISD	02	EE	EE - 02	E	003903122	BROOKHOLLOW EL	07	REGION 07: KILGORE	 
003903131	N	 	 	 	BURLEY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANGELINA	003	38	9.4	404	510	402	78.8	294	57.6	M	 	LUFKIN ISD	02	KG	KG - 02	E	003903129	SLACK EL	07	REGION 07: KILGORE	 
003903140	Y	 	 	 	STATE SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	36	50	11	X	4	.	.	0	X	.	.	55	0	X	.	.	75	.	X	.	ANGELINA	003	7	100	7	6	0	0	0	0	X	 	LUFKIN ISD	12	07	07 - 12	S	 	 	07	REGION 07: KILGORE	Y
003903201	N	 	 	 	JUVENILE DETENT CTR	 	N	N	N	N	N	N	N	N	N	N	N	.	50	.	Z	.	.	17	0	Z	.	.	55	0	Z	.	47	75	100	Z	47	ANGELINA	003	65	100	65	7	4	57.1	0	0	Z	 	LUFKIN ISD	11	06	06 - 11	B	 	 	07	REGION 07: KILGORE	 
003904001	N	1	0	1	HUNTINGTON H S	 	N	N	N	N	N	N	N	N	N	N	N	77	50	1973	Y	1526	22	17	1200	Y	265	71	55	500	Y	356	83	75	400	Y	332.5	ANGELINA	003	79	14.7	536	516	225	43.6	3	0.6	M	 	HUNTINGTON ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
003904005	N	 	 	 	PRIDE ALTER SCH	AEC OF CHOICE	Y	Y	N	N	N	N	N	N	N	N	N	55	25	20	Y	11	.	9	0	Z	.	.	30	0	Z	.	100	45	200	Y	182.3	ANGELINA	003	61	75.3	81	43	27	62.8	0	0	A	 	HUNTINGTON ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
003904041	N	0	0	0	HUNTINGTON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	74	50	1226	Y	910	39	29	1200	Y	470	66	55	1000	Y	657	.	75	.	 	.	ANGELINA	003	60	12.9	464	424	198	46.7	2	0.5	M	 	HUNTINGTON ISD	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE	 
003904101	N	0	 	0	HUNTINGTON EL	 	N	N	N	N	N	N	N	N	N	N	N	68	50	227	Y	155	.	30	0	Z	.	65	55	200	Y	129	.	75	.	 	.	ANGELINA	003	62	16	388	517	320	61.9	9	1.7	M	 	HUNTINGTON ISD	03	EE	EE - 03	E	 	 	07	REGION 07: KILGORE	 
003904102	N	0	0	0	HUNTINGTON INT	 	N	N	N	N	N	N	N	N	N	N	N	75	50	680	Y	512	41	30	800	Y	325	64	55	400	Y	255	.	75	.	 	.	ANGELINA	003	36	13.1	274	235	134	57	2	0.9	M	 	HUNTINGTON ISD	05	04	04 - 05	E	 	 	07	REGION 07: KILGORE	 
003905001	N	1	0	1	DIBOLL H S	 	N	N	N	N	N	N	N	N	N	N	N	66	50	1859	Y	1227	20	17	2000	Y	401	61	55	1500	Y	921	91	75	600	Y	546	ANGELINA	003	69	13.4	516	502	353	70.3	30	6	M	 	DIBOLL ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
003905004	N	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE	Y	Y	N	N	N	N	N	N	N	N	N	.	25	4	Z	3	.	9	0	Z	.	.	30	0	Z	.	100	45	100	Z	91.7	ANGELINA	003	31	96.9	32	5	2	40	0	0	Z	 	DIBOLL ISD	12	10	10 - 12	S	 	 	07	REGION 07: KILGORE	 
003905041	N	0	1	0	DIBOLL J H	 	N	N	N	N	N	N	N	N	N	N	N	74	50	933	Y	689	41	29	1600	Y	662	75	55	1200	Y	895	.	75	.	 	.	ANGELINA	003	35	8.1	431	277	210	75.8	24	8.7	M	 	DIBOLL ISD	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE	 
003905101	N	0	 	0	H G TEMPLE EL	 	N	N	N	N	N	N	N	N	N	Y	N	61	50	212	Y	129	.	30	0	Z	.	64	55	600	Y	383	.	75	.	Z	.	ANGELINA	003	51	8.4	607	591	435	73.6	171	28.9	M	 	DIBOLL ISD	03	PK	PK - 03	E	 	 	07	REGION 07: KILGORE	 
003905102	N	 	 	 	DIBOLL PRI	 	N	N	N	N	Y	N	N	A	N	N	N	.	.	.	P	.	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ANGELINA	003	17	11.6	147	207	170	82.1	68	32.9	M	 	DIBOLL ISD	PK	PK	PK - PK	E	003905101	H G TEMPLE EL	07	REGION 07: KILGORE	 
003905103	N	1	0	0	H G TEMPLE INT	 	N	N	N	N	N	N	Y	N	N	N	N	73	50	1044	Y	762	36	17	1600	Y	572	68	55	400	Y	272	.	75	.	 	.	ANGELINA	003	.	.	.	414	283	68.4	63	15.2	M	 	DIBOLL ISD	10	02	02 - 10	B	 	 	07	REGION 07: KILGORE	 
003906001	N	0	0	1	ZAVALLA H S	 	N	N	N	N	N	N	N	N	N	N	N	77	50	722	Y	556	30	17	1200	Y	364	72	55	1000	Y	721	95	75	400	Y	379	ANGELINA	003	44	17.3	254	224	125	55.8	0	0	M	 	ZAVALLA ISD	12	06	06 - 12	B	 	 	07	REGION 07: KILGORE	 
003906101	N	0	1	0	ZAVALLA EL	 	N	N	N	N	N	N	N	N	N	N	N	75	50	245	Y	184	49	30	800	Y	389	69	55	400	Y	275	.	75	.	 	.	ANGELINA	003	42	21.4	196	217	139	64.1	0	0	M	 	ZAVALLA ISD	05	PK	PK - 05	E	 	 	07	REGION 07: KILGORE	 
003907001	N	0	0	0	CENTRAL H S	 	N	N	N	N	N	N	N	N	N	N	N	78	50	1498	Y	1165	21	17	1400	Y	290	74	55	1000	Y	737	86	75	400	Y	342.5	ANGELINA	003	63	13.4	470	419	183	43.7	2	0.5	M	 	CENTRAL ISD	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE	 
003907004	N	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE	Y	Y	N	N	N	N	N	N	N	N	N	.	25	.	Z	.	.	9	0	Z	.	.	30	0	Z	.	88	45	100	Z	88	ANGELINA	003	20	100	20	6	2	33.3	0	0	Z	 	CENTRAL ISD	12	11	11 - 12	S	 	 	07	REGION 07: KILGORE	 
003907041	N	0	0	0	CENTRAL J H	 	N	N	N	N	N	N	N	N	N	N	N	80	50	1103	Y	884	33	29	1200	Y	393	75	55	700	Y	527	.	75	.	 	.	ANGELINA	003	63	14.9	424	369	185	50.1	2	0.5	M	 	CENTRAL ISD	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE	 
003907102	N	0	0	0	CENTRAL EL	 	N	N	N	N	N	N	N	N	N	N	N	79	50	904	Y	715	34	30	1200	Y	412	76	55	600	Y	455	.	75	.	 	.	ANGELINA	003	94	15.8	596	746	483	64.7	49	6.6	M	 	CENTRAL ISD	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE	 
004901001	N	0	0	0	ROCKPORT-FULTON H S	 	N	N	N	N	N	N	N	N	N	N	N	79	50	3200	Y	2519	25	17	1800	Y	452	73	55	1000	Y	729	88	75	700	Y	613	ARANSAS	004	182	18	1009	907	424	46.7	9	1	M	 	ARANSAS COUNTY ISD	12	09	09 - 12	S	 	 	02	REGION 02: CORPUS CHRISTI	 
004901041	N	0	0	0	ROCKPORT-FULTON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	76	50	2070	Y	1579	39	29	1200	Y	468	70	55	1000	Y	698	.	75	.	 	.	ARANSAS	004	133	16.6	803	757	433	57.2	14	1.8	M	 	ARANSAS COUNTY ISD	08	06	06 - 08	M	 	 	02	REGION 02: CORPUS CHRISTI	 
004901101	N	1	1	0	FULTON 4-5 LEARNING CENTER	 	N	N	N	N	N	N	N	N	N	N	N	79	50	1146	Y	906	46	30	1200	Y	548	75	55	1200	Y	898	.	75	.	 	.	ARANSAS	004	82	16	511	426	262	61.5	26	6.1	M	 	ARANSAS COUNTY ISD	05	04	04 - 05	E	 	 	02	REGION 02: CORPUS CHRISTI	 
004901102	N	 	 	 	LITTLE BAY PRI	 	N	N	N	N	Y	N	N	A	N	N	N	.	.	0	P	0	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	ARANSAS	004	.	.	.	333	236	70.9	16	4.8	M	 	ARANSAS COUNTY ISD	KG	EE	EE - KG	E	004901103	LIVE OAK 1-3 LEARNING CENTER	02	REGION 02: CORPUS CHRISTI	 
