CAMPUS	CAD_GAP	CAD_MATH	CAD_POST	CAD_PROGRESS	CAD_READ	CAD_SCIE	CAD_SOCI	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CUT	CI4_GRD_WGT	CI4_MET	CI4_PSG_WGT	CI4_RHS_WGT	CI4_STR_WGT	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	C_RATING	C_UPDATE	DISTNAME	DISTRICT	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME
001904102	0	 	0	1	1	0	 	FRANKSTON EL	 	N	N	N	N	N	N	N	N	N	N	N	85	60	250	Y	212	50	30	400	Y	200	42	28	600	Y	251	39	12	.	Y	.	.	39	ANDERSON	001	42	14.2	295	407	240	59	15	3.7	M	 	FRANKSTON ISD	001904	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE
001906002	0	0	0	0	0	1	1	NECHES H S	 	N	N	N	N	N	N	N	N	N	N	N	78	60	148	Y	115	20	15	400	Y	78	41	31	600	Y	246	80	57	25	Y	21.8	19.7	13.1	ANDERSON	001	24	17.5	137	114	48	42.1	2	1.8	M	 	NECHES ISD	001906	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001906102	0	0	0	1	0	0	 	NECHES EL	 	N	N	N	N	N	N	N	N	N	N	N	81	60	306	Y	248	47	30	400	Y	188	37	28	800	Y	298	39	12	.	Y	.	.	39	ANDERSON	001	35	13.2	266	256	108	42.2	1	0.4	M	 	NECHES ISD	001906	08	KG	KG - 08	E	 	 	07	REGION 07: KILGORE
001907001	1	1	0	1	1	1	0	PALESTINE H S	 	N	N	N	N	N	N	N	N	N	N	N	74	60	1295	Y	964	28	15	1000	Y	280	43	31	2400	Y	1031	77	57	23.7	Y	19.1	23.3	10.5	ANDERSON	001	235	24	980	897	570	63.5	26	2.9	M	 	PALESTINE ISD	001907	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001907041	0	0	0	0	0	0	0	PALESTINE J H	 	N	N	N	N	N	N	N	N	N	N	N	69	60	989	Y	680	38	28	800	Y	302	33	27	2400	Y	780	20	13	.	Y	.	.	20.3	ANDERSON	001	100	19.3	519	472	342	72.5	23	4.9	M	 	PALESTINE ISD	001907	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE
001907101	 	 	 	 	 	 	 	NORTHSIDE PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDERSON	001	48	15	319	545	394	72.3	131	24	M	 	PALESTINE ISD	001907	01	KG	KG - 01	E	001907107	SOUTHSIDE EL	07	REGION 07: KILGORE
001907102	 	 	 	 	 	 	 	WASHINGTON EARLY CHILDHOOD CENTER	 	N	N	N	N	Y	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDERSON	001	.	.	.	188	178	94.7	60	31.9	M	 	PALESTINE ISD	001907	PK	EE	EE - PK	E	001907107	SOUTHSIDE EL	07	REGION 07: KILGORE
001907107	0	 	0	0	0	 	 	SOUTHSIDE EL	 	N	N	N	N	N	N	N	N	N	Y	N	68	60	229	Y	156	34	30	600	Y	203	36	28	600	Y	214	24	12	.	Y	.	.	23.5	ANDERSON	001	64	11.8	542	534	419	78.5	145	27.2	M	 	PALESTINE ISD	001907	03	02	02 - 03	E	 	 	07	REGION 07: KILGORE
001907110	0	 	0	0	0	0	 	STORY INT	 	N	N	N	N	N	N	N	N	N	N	N	64	60	1036	Y	665	37	30	1000	Y	372	30	28	1800	Y	537	18	12	.	Y	.	.	17.5	ANDERSON	001	125	15.8	789	716	555	77.5	138	19.3	M	 	PALESTINE ISD	001907	06	04	04 - 06	E	 	 	07	REGION 07: KILGORE
001908002	0	0	0	1	0	1	0	WESTWOOD H S	 	N	N	N	N	N	N	N	N	N	N	N	83	60	568	Y	469	33	15	800	Y	263	45	31	800	Y	356	74	57	24.2	Y	18.3	21	10.7	ANDERSON	001	82	17.6	467	440	240	54.5	6	1.4	M	 	WESTWOOD ISD	001908	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001908041	0	0	0	1	0	0	0	WESTWOOD J H	 	N	N	N	N	N	N	N	N	N	N	N	68	60	538	Y	368	41	28	800	Y	324	35	27	2000	Y	695	20	13	.	Y	.	.	19.5	ANDERSON	001	50	19	263	237	171	72.2	15	6.3	M	 	WESTWOOD ISD	001908	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE
001908101	0	 	0	0	0	0	 	WESTWOOD EL	 	N	N	N	N	N	N	N	N	N	Y	N	67	60	628	Y	419	36	30	1000	Y	360	32	28	1400	Y	446	24	12	.	Y	.	.	24	ANDERSON	001	97	17.5	555	462	293	63.4	33	7.1	M	 	WESTWOOD ISD	001908	06	03	03 - 06	E	 	 	07	REGION 07: KILGORE
001908102	 	 	 	 	 	 	 	WESTWOOD PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDERSON	001	57	19.8	288	456	316	69.3	41	9	M	 	WESTWOOD ISD	001908	02	EE	EE - 02	E	001908101	WESTWOOD EL	07	REGION 07: KILGORE
001909001	1	1	1	1	1	1	1	SLOCUM H S	 	N	N	N	N	N	N	N	N	N	N	N	92	60	288	Y	266	39	15	400	Y	154	51	31	1000	Y	514	88	57	25	Y	25	22.6	15.1	ANDERSON	001	32	14.7	218	199	79	39.7	0	0	M	 	SLOCUM ISD	001909	12	06	06 - 12	B	 	 	07	REGION 07: KILGORE
001909101	1	 	0	0	0	1	 	SLOCUM EL	 	N	N	N	N	N	N	N	N	N	N	N	88	60	116	Y	102	43	30	400	Y	173	47	28	600	Y	282	34	12	.	Y	.	.	33.5	ANDERSON	001	18	11.5	156	190	84	44.2	0	0	M	 	SLOCUM ISD	001909	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE
002901001	0	0	0	0	0	0	0	ANDREWS H S	 	N	N	N	N	N	N	N	N	N	N	N	76	60	1585	Y	1212	22	15	800	Y	178	40	31	1600	Y	641	80	57	24.7	Y	23	21.9	10.8	ANDREWS	002	140	13.7	1022	995	244	24.5	58	5.8	M	 	ANDREWS ISD	002901	12	09	09 - 12	S	 	 	18	REGION 18: MIDLAND
002901002	 	 	 	 	 	 	 	ANDREWS EDUCATION CENTER	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	78	35	37	Y	29	.	7	0	Z	.	31	11	400	Y	123	95	33	63	Y	.	.	1.9	ANDREWS	002	49	71	69	39	11	28.2	2	5.1	A	 	ANDREWS ISD	002901	12	09	09 - 12	S	 	 	18	REGION 18: MIDLAND
002901041	0	0	0	0	0	0	0	ANDREWS MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	66	60	1589	Y	1051	32	28	800	Y	256	29	27	1600	Y	464	27	13	.	Y	.	.	26.7	ANDREWS	002	115	12.9	891	924	326	35.3	88	9.5	M	 	ANDREWS ISD	002901	08	06	06 - 08	M	 	 	18	REGION 18: MIDLAND
002901101	0	 	0	1	0	 	 	DEVONIAN EL	 	N	N	N	N	N	N	N	N	N	Y	N	73	60	266	Y	194	66	30	600	Y	396	37	28	400	Y	149	32	12	.	Y	.	.	32.3	ANDREWS	002	94	14.4	652	645	272	42.2	114	17.7	M	 	ANDREWS ISD	002901	03	02	02 - 03	E	 	 	18	REGION 18: MIDLAND
002901104	0	 	0	0	0	0	 	UNDERWOOD EL	 	N	N	N	N	N	N	N	N	N	N	N	62	60	1178	Y	735	38	30	1000	Y	380	29	28	1200	Y	350	19	12	.	Y	.	.	18.7	ANDREWS	002	90	13.2	683	636	273	42.9	105	16.5	M	 	ANDREWS ISD	002901	05	04	04 - 05	E	 	 	18	REGION 18: MIDLAND
002901105	 	 	 	 	 	 	 	CLEARFORK EL	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANDREWS	002	55	15.4	357	767	338	44.1	140	18.3	M	 	ANDREWS ISD	002901	01	EE	EE - 01	E	002901101	DEVONIAN EL	18	REGION 18: MIDLAND
003801001	0	0	0	0	0	0	0	PINEYWOODS COMMUNITY ACADEMY H S	 	N	N	Y	N	N	N	N	N	N	N	N	79	60	588	Y	466	28	15	800	Y	223	41	31	1400	Y	572	78	57	25	Y	21.4	23.8	7.5	ANGELINA	003	10	4	247	290	118	40.7	4	1.4	M	 	PINEYWOODS COMMUNITY ACADEMY	003801	12	07	07 - 12	S	 	 	07	REGION 07: KILGORE
003801103	0	 	0	0	0	1	 	PINEYWOODS COMMUNITY ACADEMY EL	 	N	N	Y	N	N	N	N	N	N	N	N	76	60	360	Y	273	33	30	600	Y	199	36	28	1000	Y	363	28	12	.	Y	.	.	27.5	ANGELINA	003	27	7.2	376	521	289	55.5	37	7.1	M	 	PINEYWOODS COMMUNITY ACADEMY	003801	06	PK	PK - 06	E	 	 	07	REGION 07: KILGORE
003902001	1	1	1	1	1	1	1	HUDSON H S	 	N	N	N	N	N	N	N	N	N	N	N	89	60	934	Y	833	26	15	600	Y	158	58	31	1600	Y	927	86	57	24.6	Y	22	24.1	15.5	ANGELINA	003	114	13.5	846	779	346	44.4	13	1.7	M	 	HUDSON ISD	003902	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003902004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	81	35	16	Y	13	.	7	0	Z	.	31	11	200	Y	62	100	45	95.5	Y	.	.	.	ANGELINA	003	39	100	39	14	10	71.4	0	0	A	 	HUDSON ISD	003902	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003902041	1	1	1	1	1	1	1	HUDSON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	88	60	1196	Y	1049	41	28	800	Y	330	48	27	2000	Y	960	37	13	.	Y	.	.	36.5	ANGELINA	003	78	11.3	689	649	324	49.9	19	2.9	M	 	HUDSON ISD	003902	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003902101	 	 	 	 	 	 	 	W F PEAVY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	107	21.9	489	741	467	63	86	11.6	M	 	HUDSON ISD	003902	02	EE	EE - 02	E	003902102	W H BONNER EL	07	REGION 07: KILGORE
003902102	0	 	0	0	0	0	 	W H BONNER EL	 	N	N	N	N	N	N	N	N	N	Y	N	82	60	966	Y	792	43	30	800	Y	347	41	28	1400	Y	568	28	12	.	Y	.	.	28	ANGELINA	003	98	14.5	677	633	352	55.6	60	9.5	M	 	HUDSON ISD	003902	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903001	1	1	0	1	1	1	1	LUFKIN H S	 	N	N	N	N	N	N	N	N	N	N	N	83	60	2763	Y	2284	25	15	1000	Y	251	47	31	2400	Y	1134	78	57	22.7	Y	19.1	21.9	14.6	ANGELINA	003	377	16.2	2331	2152	1297	60.3	105	4.9	M	 	LUFKIN ISD	003903	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003903004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	78	35	27	Y	21	.	7	0	Z	.	40	11	200	Y	80	78	33	53.6	Y	.	.	1.9	ANGELINA	003	106	91.4	116	37	16	43.2	4	10.8	A	 	LUFKIN ISD	003903	12	10	10 - 12	S	 	 	07	REGION 07: KILGORE
003903044	0	1	0	0	0	0	1	LUFKIN MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	74	60	2887	Y	2146	37	28	1600	Y	588	41	27	2600	Y	1056	35	13	.	Y	.	.	35	ANGELINA	003	224	12.3	1825	1666	1224	73.5	195	11.7	M	 	LUFKIN ISD	003903	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003903120	0	 	0	0	0	0	 	ANDERSON EL	 	N	N	N	N	N	N	N	N	N	Y	N	75	60	400	Y	300	43	30	1000	Y	429	39	28	1600	Y	627	18	12	.	Y	.	.	18.3	ANGELINA	003	86	25.6	336	302	220	72.8	45	14.9	M	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903121	0	 	1	1	1	1	 	BRANDON EL	 	N	N	N	N	N	N	N	N	N	Y	N	84	60	626	Y	524	46	30	800	Y	371	42	28	1600	Y	675	45	12	.	Y	.	.	44.5	ANGELINA	003	83	18	462	428	248	57.9	19	4.4	M	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903122	0	 	1	0	0	1	 	BROOKHOLLOW EL	 	N	N	N	N	N	N	N	N	N	Y	N	65	60	450	Y	291	37	30	1000	Y	368	32	28	1800	Y	578	23	12	.	Y	.	.	23.3	ANGELINA	003	75	21.3	352	332	274	82.5	43	13	M	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903123	0	 	0	0	0	0	 	COSTON EL	 	N	N	N	N	N	N	N	N	N	Y	N	54	60	492	N	268	35	30	1000	Y	351	30	28	1400	Y	416	9	12	.	N	.	.	9	ANGELINA	003	84	22.7	370	337	310	92	150	44.5	I	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903124	 	 	 	 	 	 	 	DUNBAR PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	73	19.6	372	389	245	63	22	5.7	M	 	LUFKIN ISD	003903	02	KG	KG - 02	E	003903121	BRANDON EL	07	REGION 07: KILGORE
003903125	 	 	 	 	 	 	 	GARRETT PRI	 	N	N	N	N	Y	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	.	.	.	373	368	98.7	207	55.5	M	 	LUFKIN ISD	003903	KG	PK	PK - KG	E	003903121	BRANDON EL	07	REGION 07: KILGORE
003903126	 	 	 	 	 	 	 	HACKNEY PRI	 	N	N	N	N	Y	N	N	Y	Y	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	.	.	.	245	241	98.4	82	33.5	M	 	LUFKIN ISD	003903	PK	PK	PK - PK	E	003903000	LUFKIN ISD	07	REGION 07: KILGORE
003903127	 	 	 	 	 	 	 	HERTY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	72	28.5	253	400	366	91.5	72	18	I	 	LUFKIN ISD	003903	02	EE	EE - 02	E	003903123	COSTON EL	07	REGION 07: KILGORE
003903128	 	 	 	 	 	 	 	KURTH PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	60	22.8	263	354	294	83.1	55	15.5	M	 	LUFKIN ISD	003903	02	PK	PK - 02	E	003903120	ANDERSON EL	07	REGION 07: KILGORE
003903129	0	 	0	0	0	0	 	SLACK EL	 	N	N	N	N	N	N	N	N	N	Y	N	76	60	622	Y	475	38	30	800	Y	307	39	28	1400	Y	542	26	12	.	Y	.	.	26.3	ANGELINA	003	38	8.6	444	422	321	76.1	229	54.3	M	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903130	 	 	 	 	 	 	 	TROUT PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	77	26.6	290	401	343	85.5	31	7.7	M	 	LUFKIN ISD	003903	02	PK	PK - 02	E	003903122	BROOKHOLLOW EL	07	REGION 07: KILGORE
003903131	 	 	 	 	 	 	 	BURLEY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	36	8.8	409	471	376	79.8	289	61.4	M	 	LUFKIN ISD	003903	02	KG	KG - 02	E	003903129	SLACK EL	07	REGION 07: KILGORE
003903141	 	 	 	 	 	 	 	SPECIAL SERVICES	 	N	N	N	N	N	N	Y	N	N	N	N	.	60	.	Z	.	.	15	0	Z	.	.	31	0	Z	.	.	.	.	Z	.	.	.	ANGELINA	003	1	100	1	6	2	33.3	0	0	Z	 	LUFKIN ISD	003903	09	EE	EE - 09	B	 	 	07	REGION 07: KILGORE
003903201	 	 	 	 	 	 	 	JUVENILE DETENT CTR	 	N	N	N	N	N	N	N	N	N	N	N	.	60	.	Z	.	.	15	0	Z	.	.	31	0	Z	.	.	.	.	Z	.	.	.	ANGELINA	003	65	100	65	7	7	100	0	0	Z	 	LUFKIN ISD	003903	10	07	07 - 10	S	 	 	07	REGION 07: KILGORE
003904001	0	0	0	1	0	0	1	HUNTINGTON H S	 	N	N	N	N	N	N	N	N	N	N	N	82	60	790	Y	647	28	15	400	Y	112	44	31	800	Y	355	78	57	24.9	Y	19.8	19.9	13.2	ANGELINA	003	104	17.6	592	555	225	40.5	3	0.5	M	 	HUNTINGTON ISD	003904	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003904005	 	 	 	 	 	 	 	PRIDE ALTER SCH	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	61	35	59	Y	36	.	7	0	Z	.	30	11	600	Y	178	95	33	59.4	Y	.	.	5.3	ANGELINA	003	104	82.5	126	45	22	48.9	0	0	A	 	HUNTINGTON ISD	003904	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003904041	0	0	0	0	0	0	0	HUNTINGTON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	76	60	684	Y	520	35	28	600	Y	209	36	27	1000	Y	362	26	13	.	Y	.	.	26	ANGELINA	003	45	10.7	422	373	190	50.9	2	0.5	M	 	HUNTINGTON ISD	003904	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003904101	0	 	0	 	0	 	 	HUNTINGTON EL	 	N	N	N	N	N	N	N	N	N	N	N	75	60	115	Y	86	.	30	0	Z	.	40	28	200	Y	79	32	12	.	Y	.	.	32	ANGELINA	003	58	14.9	390	551	332	60.3	11	2	M	 	HUNTINGTON ISD	003904	03	EE	EE - 03	E	 	 	07	REGION 07: KILGORE
003904102	0	 	0	1	0	0	 	HUNTINGTON INT	 	N	N	N	N	N	N	N	N	N	N	N	76	60	380	Y	290	49	30	400	Y	195	36	28	600	Y	215	22	12	.	Y	.	.	21.5	ANGELINA	003	35	13.3	263	231	119	51.5	1	0.4	M	 	HUNTINGTON ISD	003904	05	04	04 - 05	E	 	 	07	REGION 07: KILGORE
003905001	0	1	0	0	0	0	0	DIBOLL H S	 	N	N	N	N	N	N	N	N	N	N	N	78	60	764	Y	599	24	15	800	Y	193	45	31	1600	Y	720	72	57	25	Y	17.1	21.2	9	ANGELINA	003	70	13	540	510	369	72.4	25	4.9	M	 	DIBOLL ISD	003905	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003905004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	.	35	1	Z	1	.	7	0	Z	.	.	11	0	Z	.	100	45	93.8	Z	.	.	.	ANGELINA	003	25	100	25	7	5	71.4	0	0	Z	 	DIBOLL ISD	003905	12	11	11 - 12	S	 	 	07	REGION 07: KILGORE
003905041	1	0	0	0	0	0	0	DIBOLL J H	 	N	N	N	N	N	N	N	N	N	N	N	78	60	598	Y	467	33	28	1000	Y	329	44	27	1800	Y	799	28	13	.	Y	.	.	28.3	ANGELINA	003	31	11.1	280	274	192	70.1	36	13.1	M	 	DIBOLL ISD	003905	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE
003905101	0	 	0	0	0	 	 	H G TEMPLE EL	 	N	N	N	N	N	N	N	N	N	Y	N	74	60	116	Y	86	42	30	200	Y	83	43	28	400	Y	172	32	12	.	Y	.	.	32.3	ANGELINA	003	83	16.8	493	561	344	61.3	160	28.5	M	 	DIBOLL ISD	003905	03	KG	KG - 03	E	 	 	07	REGION 07: KILGORE
003905102	 	 	 	 	 	 	 	DIBOLL PRI	 	N	N	N	N	Y	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	ANGELINA	003	.	.	.	169	137	81.1	61	36.1	M	 	DIBOLL ISD	003905	PK	EE	EE - PK	E	003905101	H G TEMPLE EL	07	REGION 07: KILGORE
003905103	0	 	0	0	0	0	 	H G TEMPLE INT	 	N	N	N	N	N	N	N	N	N	N	N	68	60	591	Y	403	34	30	1000	Y	335	31	28	1400	Y	427	21	12	.	Y	.	.	20.8	ANGELINA	003	50	10.8	463	409	249	60.9	84	20.5	M	 	DIBOLL ISD	003905	06	04	04 - 06	E	 	 	07	REGION 07: KILGORE
003906001	0	0	0	0	0	0	0	ZAVALLA H S	 	N	N	N	N	N	N	N	N	N	N	N	82	60	291	Y	239	30	15	400	Y	121	41	31	1000	Y	414	79	57	24.2	Y	24	20.8	9.9	ANGELINA	003	45	17.8	253	223	128	57.4	0	0	M	 	ZAVALLA ISD	003906	12	06	06 - 12	B	 	 	07	REGION 07: KILGORE
003906101	0	 	1	0	1	0	 	ZAVALLA EL	 	N	N	N	N	N	N	N	N	N	N	N	80	60	113	Y	90	36	30	400	Y	143	37	28	600	Y	219	32	12	.	Y	.	.	31.5	ANGELINA	003	38	23.2	164	189	117	61.9	0	0	M	 	ZAVALLA ISD	003906	05	PK	PK - 05	E	 	 	07	REGION 07: KILGORE
003907001	0	0	0	0	0	0	0	CENTRAL H S	 	N	N	N	N	N	N	N	N	N	N	N	79	60	593	Y	469	19	15	600	Y	113	43	31	800	Y	340	80	57	24.7	Y	23.7	20	11.9	ANGELINA	003	70	14.1	496	457	184	40.3	2	0.4	M	 	CENTRAL ISD	003907	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003907004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	 	N	N	N	N	N	N	N	N	N	N	N	.	60	8	Z	5	.	15	0	Z	.	.	31	0	Z	.	.	.	.	Z	.	.	.	ANGELINA	003	23	100	23	10	3	30	0	0	Z	 	CENTRAL ISD	003907	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
