CAMPUS	CAD_GAP	CAD_MATH	CAD_POST	CAD_PROGRESS	CAD_READ	CAD_SCIE	CAD_SOCI	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CRB_WGT	CI4_CUT	CI4_GRD_WGT	CI4_MET	CI4_RHS_WGT	CI4_STR_WGT	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	C_RATING	C_UPDATE	DISTNAME	DISTRICT	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME
001906002	1	1	0	 	0	1	0	NECHES H S	 	N	N	N	N	N	N	N	N	N	N	N	84	55	137	Y	115	.	.	400	 	128	48	31	800	Y	383	68	11.8	57	25	Y	18.4	13.1	ANDERSON	001	23	16.5	139	119	46	38.7	3	2.5	M	 	NECHES ISD	001906	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001906040	 	 	 	 	 	 	 	NECHES DAEP	 	N	N	N	Y	N	N	Y	N	N	N	N	.	55	.	X	.	.	.	0	X	.	.	31	0	X	.	.	.	.	.	X	.	.	ANDERSON	001	5	100	5	1	1	100	0	0	X	 	NECHES ISD	001906	11	11	11 - 11	S	 	 	07	REGION 07: KILGORE
001906102	0	1	1	0	1	1	 	NECHES EL	 	N	N	N	N	N	N	N	N	N	N	N	90	55	501	Y	450	44	33	800	Y	348	47	28	1000	Y	473	51	.	12	.	Y	.	50.5	ANDERSON	001	27	9.9	272	269	103	38.3	0	0	M	 	NECHES ISD	001906	08	KG	KG - 08	E	 	 	07	REGION 07: KILGORE
001907001	1	1	1	 	0	1	0	PALESTINE H S	 	N	N	N	N	N	N	N	N	N	N	N	73	55	1224	Y	893	.	.	1000	 	194	42	31	2400	Y	1000	68	12.1	57	23.1	Y	23.4	9	ANDERSON	001	219	21.8	1006	801	506	63.2	18	2.2	M	 	PALESTINE ISD	001907	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001907041	0	0	1	0	0	1	1	PALESTINE J H	 	N	N	N	N	N	N	N	N	N	N	N	67	55	1457	Y	975	37	28	2000	Y	743	33	27	3000	Y	993	33	.	13	.	Y	.	32.8	ANDERSON	001	96	18.8	510	448	319	71.2	12	2.7	M	 	PALESTINE ISD	001907	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE
001907101	 	 	 	 	 	 	 	NORTHSIDE PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANDERSON	001	54	17.9	301	568	442	77.8	142	25	M	 	PALESTINE ISD	001907	01	KG	KG - 01	E	001907107	SOUTHSIDE EL	07	REGION 07: KILGORE
001907102	 	 	 	 	 	 	 	WASHINGTON EARLY CHILDHOOD CENTER	 	N	N	N	N	Y	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANDERSON	001	.	.	.	215	206	95.8	55	25.6	M	 	PALESTINE ISD	001907	PK	EE	EE - PK	E	001907107	SOUTHSIDE EL	07	REGION 07: KILGORE
001907107	0	0	0	0	0	 	 	SOUTHSIDE EL	 	N	N	N	N	N	N	N	N	N	Y	N	68	55	450	Y	306	41	33	1200	Y	495	37	28	1200	Y	448	21	.	12	.	Y	.	20.5	ANDERSON	001	73	13	562	514	427	83.1	136	26.5	M	 	PALESTINE ISD	001907	03	02	02 - 03	E	 	 	07	REGION 07: KILGORE
001907110	0	0	0	0	0	0	 	STORY INT	 	N	N	N	N	N	N	N	N	N	N	N	67	55	1798	Y	1203	36	33	2400	Y	857	32	28	2400	Y	762	22	.	12	.	Y	.	21.5	ANDERSON	001	125	15.8	791	717	576	80.3	80	11.2	M	 	PALESTINE ISD	001907	06	04	04 - 06	E	 	 	07	REGION 07: KILGORE
001908002	0	0	0	 	0	0	0	WESTWOOD H S	 	N	N	N	N	N	N	N	N	N	N	N	76	55	583	Y	441	.	.	600	 	90	37	31	1200	Y	440	65	11.5	57	24.2	Y	20.2	8.9	ANDERSON	001	81	17.3	468	424	207	48.8	5	1.2	M	 	WESTWOOD ISD	001908	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
001908041	0	0	0	0	0	0	0	WESTWOOD J H	 	N	N	N	N	N	N	N	N	N	N	N	74	55	756	Y	556	38	28	2000	Y	759	39	27	2000	Y	785	28	.	13	.	Y	.	28.3	ANDERSON	001	44	16.5	267	240	161	67.1	8	3.3	M	 	WESTWOOD ISD	001908	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE
001908101	0	0	0	0	0	0	 	WESTWOOD EL	 	N	N	N	N	N	N	N	N	N	Y	N	62	55	1136	Y	699	28	33	2400	N	670	31	28	2000	Y	619	16	.	12	.	Y	.	15.8	ANDERSON	001	106	18.5	573	503	335	66.6	36	7.2	I	 	WESTWOOD ISD	001908	06	03	03 - 06	E	 	 	07	REGION 07: KILGORE
001908102	 	 	 	 	 	 	 	WESTWOOD PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANDERSON	001	56	18.3	306	435	285	65.5	35	8	I	 	WESTWOOD ISD	001908	02	EE	EE - 02	E	001908101	WESTWOOD EL	07	REGION 07: KILGORE
001909001	0	0	0	 	0	0	0	SLOCUM H S	 	N	N	N	N	N	N	N	N	N	N	N	89	55	404	Y	359	.	.	800	 	245	45	31	1000	Y	448	73	15.5	57	24.1	Y	21	12.3	ANDERSON	001	46	19.4	237	207	93	44.9	1	0.5	M	 	SLOCUM ISD	001909	12	06	06 - 12	B	 	 	07	REGION 07: KILGORE
001909101	0	1	0	0	1	0	 	SLOCUM EL	 	N	N	N	N	N	N	N	N	N	N	N	82	55	217	Y	177	47	33	800	Y	379	45	28	800	Y	361	31	.	12	.	Y	.	30.5	ANDERSON	001	39	21.1	185	205	104	50.7	0	0	M	 	SLOCUM ISD	001909	05	EE	EE - 05	E	 	 	07	REGION 07: KILGORE
002901001	0	0	0	 	1	0	0	ANDREWS H S	 	N	N	N	N	N	N	N	N	N	N	N	73	55	1538	Y	1129	.	.	800	 	144	39	31	1600	Y	623	67	11.7	57	24.5	Y	22.2	8.8	ANDREWS	002	155	15.8	984	948	276	29.1	41	4.3	M	 	ANDREWS ISD	002901	12	09	09 - 12	S	 	 	18	REGION 18: MIDLAND
002901002	 	 	 	 	 	 	 	ANDREWS EDUCATION CENTER	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	55	30	56	Y	31	.	.	0	 	.	27	11	200	Y	54	81	.	33	65.6	Y	.	1.3	ANDREWS	002	45	72.6	62	40	17	42.5	1	2.5	A	 	ANDREWS ISD	002901	12	09	09 - 12	S	 	 	18	REGION 18: MIDLAND
002901041	0	0	0	0	0	0	0	ANDREWS MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	69	55	2308	Y	1583	33	28	2000	Y	652	32	27	2000	Y	644	27	.	13	.	Y	.	26.7	ANDREWS	002	101	12.1	834	816	333	40.8	65	8	M	 	ANDREWS ISD	002901	08	06	06 - 08	M	 	 	18	REGION 18: MIDLAND
002901101	0	0	0	1	0	 	 	DEVONIAN EL	 	N	N	N	N	N	N	N	N	N	Y	N	64	55	548	Y	349	51	33	1200	Y	606	33	28	800	Y	265	18	.	12	.	Y	.	18	ANDREWS	002	75	11.9	631	587	261	44.5	105	17.9	M	 	ANDREWS ISD	002901	03	02	02 - 03	E	 	 	18	REGION 18: MIDLAND
002901104	0	0	0	0	0	0	 	UNDERWOOD EL	 	N	N	N	N	N	N	N	N	N	N	N	62	55	1760	Y	1094	37	33	2000	Y	746	29	28	1600	Y	466	23	.	12	.	Y	.	22.7	ANDREWS	002	88	14.1	624	618	288	46.6	105	17	M	 	ANDREWS ISD	002901	05	04	04 - 05	E	 	 	18	REGION 18: MIDLAND
002901105	 	 	 	 	 	 	 	CLEARFORK EL	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANDREWS	002	61	17.8	343	749	405	54.1	126	16.8	M	 	ANDREWS ISD	002901	01	EE	EE - 01	E	002901101	DEVONIAN EL	18	REGION 18: MIDLAND
003801001	0	0	1	 	0	0	0	PINEYWOODS COMMUNITY ACADEMY H S	 	N	N	Y	N	N	N	N	N	N	N	N	77	55	561	Y	434	.	.	800	 	224	37	31	1400	Y	524	73	15.8	57	25	Y	22.5	9.2	ANGELINA	003	19	9.3	204	242	112	46.3	1	0.4	M	 	PINEYWOODS COMMUNITY ACADEMY	003801	12	07	07 - 12	S	 	 	07	REGION 07: KILGORE
003801103	0	0	0	0	0	0	 	PINEYWOODS COMMUNITY ACADEMY EL	 	N	N	Y	N	N	N	N	N	N	N	N	74	55	602	Y	446	33	33	1200	Y	394	34	28	1600	Y	537	20	.	12	.	Y	.	19.8	ANGELINA	003	35	9.6	366	459	232	50.5	20	4.4	M	 	PINEYWOODS COMMUNITY ACADEMY	003801	06	PK	PK - 06	E	 	 	07	REGION 07: KILGORE
003902001	1	0	0	 	1	1	1	HUDSON H S	 	N	N	N	N	N	N	N	N	N	N	N	86	55	874	Y	752	.	.	800	 	200	50	31	1400	Y	704	77	15.6	57	24.1	Y	22.1	15.2	ANGELINA	003	87	10.9	795	786	361	45.9	7	0.9	M	 	HUDSON ISD	003902	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003902004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	23	30	13	N	3	.	.	0	 	.	.	11	0	Z	.	100	.	45	90.9	Y	.	.	ANGELINA	003	24	92.3	26	7	4	57.1	0	0	X	3	HUDSON ISD	003902	12	10	10 - 12	S	 	 	07	REGION 07: KILGORE
003902041	1	1	1	1	1	1	1	HUDSON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	89	55	1839	Y	1639	42	28	2400	Y	1017	47	27	2400	Y	1124	47	.	13	.	Y	.	46.8	ANGELINA	003	77	10.8	710	645	347	53.8	31	4.8	M	 	HUDSON ISD	003902	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003902101	 	 	 	 	 	 	 	W F PEAVY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANGELINA	003	57	13.1	435	711	446	62.7	91	12.8	M	 	HUDSON ISD	003902	02	EE	EE - 02	E	003902102	W H BONNER EL	07	REGION 07: KILGORE
003902102	0	1	0	1	1	0	 	W H BONNER EL	 	N	N	N	N	N	N	N	N	N	Y	N	84	55	1525	Y	1284	50	33	1600	Y	803	42	28	2000	Y	841	35	.	12	.	Y	.	35	ANGELINA	003	103	15.7	658	625	338	54.1	61	9.8	M	 	HUDSON ISD	003902	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903001	1	1	0	 	0	1	0	LUFKIN H S	 	N	N	N	N	N	N	N	N	N	N	N	81	55	2978	Y	2420	.	.	2000	 	550	45	31	1800	Y	814	73	14.1	57	22.6	Y	21.9	14.2	ANGELINA	003	351	14.8	2374	2136	1278	59.8	75	3.5	M	 	LUFKIN ISD	003903	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003903004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	68	30	38	Y	26	.	.	0	 	.	.	11	0	Z	.	81	.	33	49.5	Y	.	1.5	ANGELINA	003	76	92.7	82	67	38	56.7	2	3	A	 	LUFKIN ISD	003903	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003903044	0	1	0	1	0	0	1	LUFKIN MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	79	55	4777	Y	3797	37	28	3000	Y	1105	39	27	3000	Y	1167	35	.	13	.	Y	.	35.4	ANGELINA	003	217	11.6	1877	1697	1223	72.1	186	11	M	 	LUFKIN ISD	003903	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003903120	1	1	1	1	1	1	 	ANDERSON EL	 	N	N	N	N	N	N	N	N	N	Y	N	83	55	668	Y	552	53	33	2400	Y	1264	45	28	2200	Y	982	33	.	12	.	Y	.	33.3	ANGELINA	003	87	24.6	354	276	212	76.8	32	11.6	M	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903121	0	1	1	1	1	1	 	BRANDON EL	 	N	N	N	N	N	N	N	N	N	Y	N	81	55	1008	Y	812	52	33	1600	Y	832	40	28	2200	Y	880	47	.	12	.	Y	.	46.8	ANGELINA	003	65	13.8	471	421	259	61.5	21	5	M	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903122	0	1	0	0	0	1	 	BROOKHOLLOW EL	 	N	N	N	N	N	N	N	N	N	Y	N	73	55	733	Y	536	48	33	2400	Y	1155	41	28	2200	Y	903	28	.	12	.	Y	.	27.8	ANGELINA	003	72	20.7	348	298	236	79.2	28	9.4	M	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903123	0	0	0	0	0	0	 	COSTON EL	 	N	N	N	N	N	N	N	N	N	Y	N	58	55	774	Y	446	43	33	2000	Y	856	32	28	2000	Y	632	15	.	12	.	Y	.	15.3	ANGELINA	003	61	18.7	327	318	303	95.3	162	50.9	M	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903124	 	 	 	 	 	 	 	DUNBAR PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANGELINA	003	60	16.8	357	375	238	63.5	20	5.3	M	 	LUFKIN ISD	003903	02	KG	KG - 02	E	003903121	BRANDON EL	07	REGION 07: KILGORE
003903125	 	 	 	 	 	 	 	GARRETT PRI	 	N	N	N	N	Y	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANGELINA	003	.	.	.	391	381	97.4	225	57.5	M	 	LUFKIN ISD	003903	KG	PK	PK - KG	E	003903121	BRANDON EL	07	REGION 07: KILGORE
003903126	 	 	 	 	 	 	 	HACKNEY PRI	 	N	N	N	N	Y	N	N	Y	Y	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANGELINA	003	.	.	.	260	254	97.7	91	35	M	 	LUFKIN ISD	003903	PK	PK	PK - PK	E	003903000	LUFKIN ISD	07	REGION 07: KILGORE
003903127	 	 	 	 	 	 	 	HERTY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANGELINA	003	56	21.5	260	412	369	89.6	67	16.3	M	 	LUFKIN ISD	003903	02	EE	EE - 02	E	003903123	COSTON EL	07	REGION 07: KILGORE
003903128	 	 	 	 	 	 	 	KURTH PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANGELINA	003	61	23.5	260	375	306	81.6	65	17.3	M	 	LUFKIN ISD	003903	02	PK	PK - 02	E	003903120	ANDERSON EL	07	REGION 07: KILGORE
003903129	0	1	0	1	0	0	 	SLACK EL	 	N	N	N	N	N	N	N	N	N	Y	N	77	55	1064	Y	814	53	33	1600	Y	853	40	28	1600	Y	642	28	.	12	.	Y	.	28	ANGELINA	003	41	9.1	450	428	331	77.3	219	51.2	M	 	LUFKIN ISD	003903	05	03	03 - 05	E	 	 	07	REGION 07: KILGORE
003903130	 	 	 	 	 	 	 	TROUT PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANGELINA	003	64	25	256	408	327	80.1	34	8.3	M	 	LUFKIN ISD	003903	02	EE	EE - 02	E	003903122	BROOKHOLLOW EL	07	REGION 07: KILGORE
003903131	 	 	 	 	 	 	 	BURLEY PRI	 	N	N	N	N	N	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANGELINA	003	34	8.5	400	517	409	79.1	306	59.2	M	 	LUFKIN ISD	003903	02	KG	KG - 02	E	003903129	SLACK EL	07	REGION 07: KILGORE
003903201	 	 	 	 	 	 	 	JUVENILE DETENT CTR	 	N	N	N	N	N	N	N	N	N	N	N	.	55	.	Z	.	.	.	0	 	.	.	31	0	Z	.	.	.	.	.	Z	.	.	ANGELINA	003	78	100	78	4	0	0	0	0	Z	 	LUFKIN ISD	003903	11	09	09 - 11	S	 	 	07	REGION 07: KILGORE
003904001	0	0	0	 	0	0	0	HUNTINGTON H S	 	N	N	N	N	N	N	N	N	N	N	N	75	55	807	Y	605	.	.	600	 	124	39	31	800	Y	310	66	13.5	57	24.3	Y	16.4	11.3	ANGELINA	003	63	11.5	548	547	234	42.8	2	0.4	M	 	HUNTINGTON ISD	003904	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003904005	 	 	 	 	 	 	 	PRIDE ALTER SCH	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	26	30	61	N	16	.	.	0	 	.	17	11	600	Y	103	100	.	33	68.6	Y	.	1.3	ANGELINA	003	71	82.6	86	70	39	55.7	0	0	I	 	HUNTINGTON ISD	003904	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003904041	0	0	0	1	0	0	0	HUNTINGTON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	73	55	1162	Y	846	38	28	1200	Y	460	35	27	1400	Y	490	30	.	13	.	Y	.	30.3	ANGELINA	003	53	11.6	456	399	191	47.9	2	0.5	M	 	HUNTINGTON ISD	003904	08	06	06 - 08	M	 	 	07	REGION 07: KILGORE
003904101	0	 	0	 	0	 	 	HUNTINGTON EL	 	N	N	N	N	N	N	N	N	N	N	N	62	55	191	Y	119	.	33	0	Z	.	28	28	400	Y	111	12	.	12	.	Y	.	11.5	ANGELINA	003	50	13.2	379	505	318	63	11	2.2	M	 	HUNTINGTON ISD	003904	03	EE	EE - 03	E	 	 	07	REGION 07: KILGORE
003904102	0	0	0	0	0	0	 	HUNTINGTON INT	 	N	N	N	N	N	N	N	N	N	N	N	65	55	683	Y	441	30	33	800	N	239	32	28	800	Y	256	21	.	12	.	Y	.	20.5	ANGELINA	003	33	12.7	259	239	134	56.1	1	0.4	I	 	HUNTINGTON ISD	003904	05	04	04 - 05	E	 	 	07	REGION 07: KILGORE
003905001	0	0	0	 	0	0	0	DIBOLL H S	 	N	N	N	N	N	N	N	N	N	N	N	74	55	897	Y	665	.	.	800	 	173	38	31	2200	Y	838	64	12.3	57	24.4	Y	19	8.3	ANGELINA	003	56	10.6	526	509	387	76	32	6.3	M	 	DIBOLL ISD	003905	12	07	07 - 12	S	 	 	07	REGION 07: KILGORE
003905004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	.	30	2	Z	0	.	.	0	 	.	.	11	0	Z	.	100	.	45	93.8	Z	.	.	ANGELINA	003	20	95.2	21	9	5	55.6	0	0	Z	 	DIBOLL ISD	003905	12	11	11 - 12	S	 	 	07	REGION 07: KILGORE
003905041	0	0	0	0	0	0	0	DIBOLL J H	 	N	N	N	N	N	N	N	N	N	N	N	73	55	892	Y	647	37	28	2000	Y	734	36	27	2200	Y	790	29	.	13	.	Y	.	28.8	ANGELINA	003	29	9.8	295	262	189	72.1	31	11.8	M	 	DIBOLL ISD	003905	08	07	07 - 08	M	 	 	07	REGION 07: KILGORE
003905101	0	0	0	0	0	 	 	H G TEMPLE EL	 	N	N	N	N	N	N	N	N	N	Y	N	64	55	259	Y	167	42	33	800	Y	332	35	28	800	Y	282	20	.	12	.	Y	.	19.7	ANGELINA	003	73	15.3	478	584	442	75.7	171	29.3	M	 	DIBOLL ISD	003905	03	KG	KG - 03	E	 	 	07	REGION 07: KILGORE
003905102	 	 	 	 	 	 	 	DIBOLL PRI	 	N	N	N	N	Y	N	N	Y	N	N	N	.	.	.	P	.	.	33	0	P	.	.	.	0	P	.	.	.	.	.	P	.	.	ANGELINA	003	.	.	.	190	154	81.1	58	30.5	M	 	DIBOLL ISD	003905	PK	EE	EE - PK	E	003905101	H G TEMPLE EL	07	REGION 07: KILGORE
003905103	0	0	0	0	0	0	 	H G TEMPLE INT	 	N	N	N	N	N	N	N	N	N	N	N	73	55	1089	Y	793	35	33	2400	Y	846	35	28	2000	Y	707	27	.	12	.	Y	.	27	ANGELINA	003	52	11.8	441	428	322	75.2	79	18.5	M	 	DIBOLL ISD	003905	06	04	04 - 06	E	 	 	07	REGION 07: KILGORE
003906001	0	0	0	 	0	0	0	ZAVALLA H S	 	N	N	N	N	N	N	N	N	N	N	N	79	55	449	Y	355	.	.	800	 	267	39	31	1000	Y	388	63	8	57	24.2	Y	21.5	9.6	ANGELINA	003	47	18.4	255	222	128	57.7	0	0	M	 	ZAVALLA ISD	003906	12	06	06 - 12	B	 	 	07	REGION 07: KILGORE
003906101	0	0	0	0	0	0	 	ZAVALLA EL	 	N	N	N	N	N	N	N	N	N	N	N	75	55	220	Y	165	40	33	800	Y	316	38	28	800	Y	301	25	.	12	.	Y	.	25	ANGELINA	003	40	21.5	186	188	114	60.6	0	0	M	 	ZAVALLA ISD	003906	05	PK	PK - 05	E	 	 	07	REGION 07: KILGORE
003907001	0	0	0	 	0	1	0	CENTRAL H S	 	N	N	N	N	N	N	N	N	N	N	N	75	55	583	Y	439	.	.	600	 	75	43	31	1000	Y	428	66	11.1	57	24.7	Y	20	10	ANGELINA	003	64	14	458	453	178	39.3	3	0.7	M	 	CENTRAL ISD	003907	12	09	09 - 12	S	 	 	07	REGION 07: KILGORE
003907004	 	 	 	 	 	 	 	STUBBLEFIELD LRN CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	.	30	0	Z	0	.	.	0	 	.	.	11	0	Z	.	94	.	45	93.8	Z	.	.	ANGELINA	003	23	100	23	2	1	50	0	0	Z	 	CENTRAL ISD	003907	12	12	12 - 12	S	 	 	07	REGION 07: KILGORE
003907041	0	0	0	0	0	0	0	CENTRAL J H	 	N	N	N	N	N	N	N	N	N	N	N	73	55	1438	Y	1046	34	28	2000	Y	679	36	27	2000	Y	724	25	.	13	.	Y	.	24.5	ANGELINA	003	51	12.6	406	494	283	57.3	8	1.6	M	 	CENTRAL ISD	003907	08	05	05 - 08	M	 	 	07	REGION 07: KILGORE
